match_id,stage,group_code,match_date,local_time,team_a_id,team_a_name,team_b_id,team_b_name,venue_id,stadium,city,country,venue_altitude_m,team_a_rest_days,team_b_rest_days,rest_days_difference,team_a_travel_km,team_b_travel_km,travel_km_difference
GS001,Group Stage,A,2026-06-11,13:00,MEX,Mexico,RSA,South Africa,VEN03,Estadio Azteca,Mexico City,Mexico,2200,,,,,,
GS002,Group Stage,A,2026-06-11,20:00,KOR,South Korea,CZE,Czechia,VEN05,Estadio Akron,Zapopan,Mexico,540,,,,,,
GS007,Group Stage,B,2026-06-12,15:00,CAN,Canada,BIH,Bosnia and Herzegovina,VEN02,BMO Field,Toronto,Canada,76,,,,,,
GS019,Group Stage,D,2026-06-12,18:00,USA,United States,PAR,Paraguay,VEN11,SoFi Stadium,Inglewood,United States,265,,,,,,
GS008,Group Stage,B,2026-06-13,12:00,QAT,Qatar,SUI,Switzerland,VEN14,Levi's Stadium,Santa Clara,United States,12,,,,,,
GS013,Group Stage,C,2026-06-13,18:00,BRA,Brazil,MAR,Morocco,VEN15,Gillette Stadium,Foxborough,United States,2,,,,,,
GS020,Group Stage,D,2026-06-13,21:00,AUS,Australia,TUR,Turkiye,VEN01,BC Place,Vancouver,Canada,70,,,,,,
GS014,Group Stage,C,2026-06-13,21:00,HAI,Haiti,SCO,Scotland,VEN06,MetLife Stadium,East Rutherford,United States,56,,,,,,
GS026,Group Stage,E,2026-06-14,12:00,GER,Germany,CUW,Curacao,VEN09,NRG Stadium,Houston,United States,163,,,,,,
GS025,Group Stage,E,2026-06-14,13:00,CIV,Ivory Coast,ECU,Ecuador,VEN12,Lincoln Financial Field,Philadelphia,United States,320,,,,,,
GS031,Group Stage,F,2026-06-14,15:00,NED,Netherlands,JPN,Japan,VEN07,AT&T Stadium,Arlington,United States,7,,,,,,
GS032,Group Stage,F,2026-06-14,20:00,SWE,Sweden,TUN,Tunisia,VEN04,Estadio BBVA,Guadalupe,Mexico,1566,,,,,,
GS044,Group Stage,H,2026-06-15,12:00,ESP,Spain,CPV,Cape Verde,VEN10,Mercedes-Benz Stadium,Atlanta,United States,13,,,,,,
