match_id,match_date,team_a_raw_name,team_b_raw_name,team_a_id,team_b_id,team_a_is_wc2026,team_b_is_wc2026,tournament,neutral_flag,importance,team_a_pre_elo,team_b_pre_elo,pre_elo_difference,team_a_host_advantage,team_b_host_advantage,team_a_score,team_b_score,target_result,team_a_matches_last_5,team_a_wins_last_5,team_a_points_avg_last_5,team_a_goal_diff_avg_last_5,team_a_matches_last_10,team_a_wins_last_10,team_a_points_avg_last_10,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_avg_opponent_elo_last_10,team_a_days_since_last_match,team_b_matches_last_5,team_b_wins_last_5,team_b_points_avg_last_5,team_b_goal_diff_avg_last_5,team_b_matches_last_10,team_b_wins_last_10,team_b_points_avg_last_10,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_avg_opponent_elo_last_10,team_b_days_since_last_match,wins_last_5_difference,points_avg_last_5_difference,goal_diff_avg_last_5_difference,goals_for_avg_last_10_difference,goals_against_avg_last_10_difference,goal_diff_avg_last_10_difference,avg_opponent_elo_last_10_difference,days_since_last_match_difference,match_date_dt
HIST_000000,2014-01-01,Kuwait,Jordan,Kuwait,JOR,0,1,WAFF Championship,1.0,20.0,1500.0,1500.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01
HIST_000001,2014-01-04,Bahrain,Jordan,Bahrain,JOR,0,1,WAFF Championship,1.0,20.0,1500.0,1516.9314718055994,-16.931471805599358,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,1.0,3.0,1.0,1,1,3.0,2.0,1.0,1.0,1500.0,3.0,-1.0,-3.0,-1.0,-2.0,-1.0,-1.0,0.0,362.0,2014-01-04
HIST_000002,2014-01-04,Namibia,Ghana,Namibia,GHA,0,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-04
HIST_000003,2014-01-04,Qatar,Kuwait,QAT,Kuwait,1,0,WAFF Championship,0.0,20.0,1500.0,1483.0685281944006,16.931471805599358,1.0,0.0,3,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,0.0,0.0,-1.0,1,0,0.0,1.0,2.0,-1.0,1500.0,3.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,362.0,2014-01-04
HIST_000004,2014-01-07,Qatar,Jordan,QAT,JOR,1,1,WAFF Championship,0.0,20.0,1518.3376806273016,1533.0384799526466,-14.700799325345088,1.0,0.0,2,0,2,1.0,1.0,3.0,3.0,1,1,3.0,3.0,0.0,3.0,1483.0685281944006,3.0,2.0,2.0,3.0,1.0,2,2,3.0,1.5,0.5,1.0,1500.0,3.0,-1.0,0.0,2.0,1.5,-0.5,2.0,-16.931471805599358,0.0,2014-01-07
HIST_000005,2014-01-15,Moldova,Norway,Moldova,NOR,0,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-15
HIST_000006,2014-01-17,Moldova,Sweden,Moldova,SWE,0,1,Friendly,1.0,10.0,1491.5342640972003,1500.0,-8.465735902799679,0.0,0.0,1,2,0,1.0,0.0,0.0,-1.0,1,0,0.0,1.0,2.0,-1.0,1500.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,-1.0,1.0,2.0,-1.0,0.0,-363.0,2014-01-17
HIST_000007,2014-01-18,Norway,Poland,NOR,Poland,1,0,Friendly,1.0,10.0,1508.4657359027997,1500.0,8.465735902799679,0.0,0.0,0,3,0,1.0,1.0,3.0,1.0,1,1,3.0,2.0,1.0,1.0,1500.0,3.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,-362.0,2014-01-18
HIST_000008,2014-01-21,Iceland,Sweden,Iceland,SWE,0,1,Friendly,1.0,10.0,1500.0,1508.2594976616797,-8.259497661679688,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,1.0,3.0,1.0,1,1,3.0,2.0,1.0,1.0,1491.5342640972003,4.0,-1.0,-3.0,-1.0,-2.0,-1.0,-1.0,8.465735902799679,361.0,2014-01-21
HIST_000009,2014-01-25,Costa Rica,South Korea,Costa Rica,KOR,0,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-25
HIST_000010,2014-01-29,Mexico,South Korea,MEX,KOR,1,1,Friendly,1.0,10.0,1500.0,1508.4657359027997,-8.465735902799679,0.0,0.0,4,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,1.0,3.0,1.0,1,1,3.0,1.0,0.0,1.0,1500.0,4.0,-1.0,-3.0,-1.0,-1.0,0.0,-1.0,0.0,361.0,2014-01-29
HIST_000011,2014-01-31,Oman,Jordan,Oman,JOR,0,1,AFC Asian Cup qualification,0.0,40.0,1500.0,1515.0695258187268,-15.069525818726788,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,3.0,2.0,2.0,0.0,3,2,2.0,1.0,1.0,0.0,1506.1125602091006,24.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,-6.112560209100593,341.0,2014-01-31
